,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
44179,gdb_44180,O=C1CC2C(CN12)C#N,4.89457,1.05587,0.94799,1.6932,70.69,-0.2629,-0.0258,0.2371,1176.9652,0.113593,-416.806917,-416.799471,-416.798526,-416.839316,27.625
37373,gdb_37374,C1C2C1C1CC3C(C1)C23,2.76812,1.96785,1.77625,0.2064,83.27,-0.2399,0.0858,0.3257,906.7879,0.18818,-349.958622,-349.952412,-349.951467,-349.988605,28.159
102819,gdb_102820,CCC(OC=O)C1CC1,1.74438,1.29199,0.79747,4.1666,80.36,-0.2721,0.012,0.2841,1473.3292,0.180465,-424.243797,-424.233704,-424.23276,-424.279848,35.913
40423,gdb_40424,C1OC1C12CN1CC=C2,3.49528,1.32781,1.17161,1.5109,76.82,-0.2249,0.0065,0.2314,1092.8501,0.148416,-401.89928,-401.891789,-401.890845,-401.931509,29.317
33107,gdb_33108,Cc1cc(co1)COC,6.51082,0.7528,0.68344,1.5545,80.5,-0.2073,0.0288,0.2361,1665.892,0.158017,-423.04946,-423.039968,-423.039024,-423.084738,33.337
34582,gdb_34583,C1CC=CC=C(C1)C#N,3.41523,1.1492,0.89108,5.0589,91.83,-0.2343,-0.0661,0.1682,1276.6026,0.150196,-364.852486,-364.844432,-364.843488,-364.885635,30.438
73670,gdb_73671,CC12COCC1OC=N2,2.26147,2.03762,1.5119,1.9912,70.78,-0.2545,0.0205,0.275,946.7441,0.149713,-439.111356,-439.10396,-439.103016,-439.143024,28.936
82351,gdb_82352,OC1C2CC2OC1C#N,2.47244,1.68898,1.34488,4.1822,67.46,-0.2613,0.0082,0.2695,980.105,0.124612,-437.869764,-437.861876,-437.860932,-437.902466,29.732
10793,gdb_10794,C1CC(=O)NCC1=O,4.67508,1.55107,1.22225,1.1314,61.56,-0.2492,-0.0319,0.2173,931.8585,0.120163,-399.863324,-399.856147,-399.855203,-399.895338,26.41
60504,gdb_60505,CC(N1CC1)C(=O)C#C,3.08784,1.13853,0.98082,2.0896,80.66,-0.2239,-0.0639,0.16,1251.9259,0.144675,-401.887935,-401.878341,-401.877397,-401.922917,34.661
132413,gdb_132414,c1cc(nc(c1)F)C=O,2.94947,1.34205,0.92236,5.3096,70.32,-0.2605,-0.0823,0.1782,1140.4308,0.089637,-460.781784,-460.774798,-460.773854,-460.813694,25.778
1865,gdb_1866,CC1CCC(=O)C1,5.40475,1.93763,1.51858,2.8932,64.05,-0.2344,-0.0117,0.2228,821.8412,0.148652,-309.763576,-309.75657,-309.755626,-309.794547,26.394
60761,gdb_60762,CC(C=O)C(=O)OC=N,3.40274,0.81537,0.78791,2.4119,70.11,-0.2637,-0.048,0.2158,1487.5281,0.120979,-475.061457,-475.051593,-475.050648,-475.098526,32.773
121498,gdb_121499,CCCN=COC1CC1,4.70049,0.58816,0.54377,2.8157,87.76,-0.2418,0.0278,0.2696,2109.4112,0.192143,-404.328373,-404.317985,-404.317041,-404.365332,36.89
127458,gdb_127459,Cc1cc(nn1C)CO,3.43633,1.05569,0.83765,1.7124,80.59,-0.2252,0.0296,0.2548,1393.6574,0.158852,-419.23097,-419.22112,-419.220175,-419.266733,34.332
5484,gdb_5485,Cc1nccn1C=O,3.46115,2.0303,1.28997,1.4972,65.88,-0.2409,-0.0505,0.1904,886.469,0.108269,-378.785008,-378.77794,-378.776995,-378.816398,25.483
118007,gdb_118008,CCOC(C)C(C)C#C,3.23531,0.84892,0.71023,1.0496,89.24,-0.2491,0.0566,0.3057,1662.0797,0.201568,-388.262368,-388.250875,-388.24993,-388.299697,41.245
73286,gdb_73287,OC12COC1COCC2,2.385,1.71899,1.3417,2.6848,70.76,-0.2417,0.0622,0.3039,1019.8215,0.16031,-460.141776,-460.133906,-460.132962,-460.173914,30.952
67972,gdb_67973,CC12CC(=O)C3C1CC23,3.07684,1.6253,1.23238,3.2471,79.59,-0.2303,-0.009,0.2213,1037.4928,0.160437,-385.879459,-385.872145,-385.871201,-385.910881,29.931
46692,gdb_46693,O=C1CNC2C3CN1C23,2.89343,1.99441,1.44084,4.3574,71.36,-0.2237,0.0013,0.225,904.5611,0.139038,-417.971949,-417.965236,-417.964292,-418.002917,27.312
39928,gdb_39929,C1OC11C=CC2COC12,3.21292,1.60499,1.25887,1.9959,74.03,-0.2488,-0.0018,0.247,1000.4168,0.137147,-421.791521,-421.784489,-421.783545,-421.823053,27.682
113593,gdb_113594,OCC1OC11CCCC1,4.21944,0.91805,0.83895,2.2888,78.58,-0.2559,0.0689,0.3249,1431.7843,0.183054,-424.221959,-424.213014,-424.21207,-424.25636,33.773
12845,gdb_12846,CC12OCC1CC=C2,3.03369,2.33089,1.80068,1.8262,71.98,-0.2361,0.0152,0.2512,819.8885,0.154752,-347.805049,-347.79796,-347.797015,-347.836044,27.822
133054,gdb_133055,c1cc(ncc1CO)F,4.81508,0.97152,0.81527,4.5735,70.62,-0.2468,-0.028,0.2188,1297.7488,0.113178,-461.966619,-461.958813,-461.957869,-461.999972,28.511
63155,gdb_63156,CC1(O)C2OCC2C1=O,2.35181,1.7114,1.35015,0.6585,68.2,-0.2407,-0.0378,0.2028,1004.2308,0.134112,-458.937696,-458.929191,-458.928247,-458.970739,31.676
79500,gdb_79501,CC1N2C3CC2C13C=O,2.38932,1.7693,1.22905,1.5609,76.82,-0.227,-0.0399,0.1871,1049.3665,0.146528,-401.857955,-401.849912,-401.848968,-401.890767,30.37
105394,gdb_105395,CCC1(CC=O)CC1O,2.54137,1.07713,0.86436,3.6102,79.29,-0.2436,-0.0204,0.2233,1385.4461,0.179302,-424.219716,-424.209302,-424.208358,-424.256004,37.498
35408,gdb_35409,N#CC1NC2C3NC3C12,3.07887,1.62837,1.34596,5.7464,72.11,-0.2336,0.0229,0.2565,956.8935,0.126301,-396.844655,-396.837672,-396.836728,-396.876075,27.715
28539,gdb_28540,c1c(cnc(c1O)N)O,3.18742,1.36344,0.9558,3.9539,73.98,-0.1855,-0.0063,0.1791,1144.6832,0.113794,-454.005099,-453.997053,-453.996109,-454.037119,31.434
41514,gdb_41515,C1OC2=NCCN3C1C23,3.01341,2.05239,1.52537,2.2239,71.57,-0.2331,-0.0116,0.2215,877.8572,0.139129,-417.951474,-417.945136,-417.944192,-417.981912,26.284
40558,gdb_40559,C1CN=C(OC1)C2CC2,3.84456,1.10834,0.95319,1.6139,81.77,-0.2355,0.0293,0.2648,1294.964,0.17314,-403.159712,-403.151496,-403.150552,-403.193275,31.23
118435,gdb_118436,CCN(CCO)C(=O)N,2.13757,1.29312,0.91091,4.8869,76.23,-0.2356,0.0513,0.2869,1345.4644,0.182155,-457.58101,-457.570539,-457.569595,-457.61711,37.913
116263,gdb_116264,OCC1CCNC1C#N,2.23102,1.54029,1.07636,4.2835,74.17,-0.2538,0.0138,0.2677,1152.9381,0.161351,-419.213345,-419.204452,-419.203508,-419.24794,32.729
89188,gdb_89189,CC12CC(O)C1OC2=O,2.53978,1.58515,1.2297,3.3318,67.64,-0.2721,0.0018,0.2738,1046.5639,0.135436,-458.976402,-458.968229,-458.967285,-459.009063,30.983
62999,gdb_63000,CC1(C)C2CC2C2OC12,2.41354,1.72048,1.51892,1.8164,80.3,-0.2535,0.0818,0.3353,1018.2732,0.182793,-387.073661,-387.065516,-387.064571,-387.105572,33.31
38387,gdb_38388,C1CC2C1C21CC2OC12,4.23048,1.23604,1.19337,1.9066,78.96,-0.2469,0.0882,0.3351,1099.6163,0.160009,-385.812197,-385.804949,-385.804005,-385.843785,29.357
89453,gdb_89454,CC12CC(O)C1(O)CO2,2.32352,1.55764,1.39803,2.2583,70.9,-0.2396,0.055,0.2946,1044.2561,0.157178,-460.131865,-460.122789,-460.121845,-460.165558,34.312
32820,gdb_32821,COCc1c(ocn1)N,3.53088,1.11307,0.86215,2.2063,72.19,-0.1945,0.0227,0.2172,1308.4075,0.136357,-455.160789,-455.151916,-455.150972,-455.195129,31.612
104540,gdb_104541,CC#CCC1(CO)CO1,2.59447,0.99984,0.84427,1.2055,80.13,-0.2433,0.0504,0.2937,1453.4008,0.156072,-422.974568,-422.964109,-422.963165,-423.011392,36.304
47836,gdb_47837,N=C1NC=NCCCO1,2.29738,1.8673,1.20746,1.5512,75.71,-0.241,-0.005,0.236,1042.5945,0.150284,-435.272663,-435.264772,-435.263827,-435.304925,30.618
93355,gdb_93356,CC1CCC(=O)C2OC12,3.1636,1.35176,1.05911,3.3549,75.47,-0.2441,-0.0308,0.2133,1155.9192,0.15969,-423.046156,-423.037952,-423.037008,-423.079112,31.482
49852,gdb_49853,O=CC1CC(=O)C2CC12,3.3586,1.1679,0.95398,2.2582,73.33,-0.2449,-0.0344,0.2105,1197.3768,0.135966,-421.854405,-421.846531,-421.845587,-421.887471,29.595
9102,gdb_9103,CC(=NC)OCC#C,5.36066,0.98276,0.84348,1.1955,74.79,-0.2483,0.0291,0.2774,1343.9237,0.138331,-363.829897,-363.820116,-363.819172,-363.865546,33.188
69813,gdb_69814,CC12OC1C1OC1C=C2,3.28729,1.63123,1.28045,3.2768,72.8,-0.2566,-0.017,0.2395,996.3222,0.135979,-421.798457,-421.791126,-421.790182,-421.829883,29.207
42592,gdb_42593,O=C1C2C3C4C3N2CC14,3.27512,1.9921,1.81222,2.6714,69.59,-0.2334,-0.0199,0.2135,805.8203,0.127794,-400.716506,-400.710822,-400.709878,-400.746372,24.373
77373,gdb_77374,CC12OC3C1C3(O)C2O,2.65169,1.67622,1.37806,1.0475,66.88,-0.2225,0.0718,0.2943,982.7542,0.134151,-458.895805,-458.887695,-458.886751,-458.927821,32.021
92315,gdb_92316,OC1CC2COC(=N)C12,2.41558,1.90751,1.24974,3.6277,72.04,-0.2509,0.0106,0.2615,1006.716,0.149825,-439.095696,-439.088215,-439.087271,-439.1277,29.582
15350,gdb_15351,COC1CC1CC#C,5.52739,0.99016,0.93394,1.5942,74.68,-0.2481,0.0609,0.309,1276.1506,0.151304,-347.741901,-347.732911,-347.731967,-347.775956,32.336
107857,gdb_107858,OCC12CC3OC1C3N2,3.59494,1.35784,1.29861,1.6142,70.21,-0.2382,0.0558,0.2939,1023.5517,0.149596,-439.01983,-439.01262,-439.011676,-439.051733,28.933
2646,gdb_2647,CC#CCCC#N,19.31727,0.85167,0.82824,4.3643,67.09,-0.2613,0.0264,0.2878,1313.7438,0.111997,-287.438379,-287.429997,-287.429052,-287.473044,27.168
120714,gdb_120715,COCC1NC1C(N)=O,2.61557,1.12444,0.85266,4.6033,73.15,-0.2298,0.0279,0.2577,1364.2912,0.159079,-456.333165,-456.323541,-456.322597,-456.368458,34.62
81281,gdb_81282,OC1C2CC1C(=O)C=C2,2.80689,1.58676,1.27468,4.3804,74.44,-0.2374,-0.0499,0.1874,1007.0694,0.137713,-421.837093,-421.829845,-421.8289,-421.868478,29.105
55101,gdb_55102,CC(=O)N1CC2(C1)CC2,4.30175,0.93663,0.83378,3.9556,82.29,-0.2323,0.0344,0.2667,1424.5517,0.169844,-403.152974,-403.143557,-403.142612,-403.188409,33.845
128376,gdb_128377,CNC1=NOC=NC1=N,2.78077,1.57952,1.01371,0.8435,73.48,-0.2314,-0.0439,0.1875,1110.8409,0.113787,-450.114341,-450.106145,-450.105201,-450.147805,29.279
111003,gdb_111004,CCC1C2CC1(O)CC2,2.44422,1.38456,1.10091,1.2015,85.07,-0.2494,0.0757,0.3251,1236.7363,0.206887,-388.288485,-388.279582,-388.278637,-388.321727,35.458
59893,gdb_59894,CC(C)CC(=O)CC#C,2.44791,0.90367,0.76161,2.0448,84.72,-0.2445,-0.0181,0.2264,1594.4963,0.178111,-387.086124,-387.075235,-387.074291,-387.123321,39.066
26086,gdb_26087,CC(C)(C)c1ccco1,3.05845,1.23703,1.09372,0.4029,84.78,-0.2123,0.0242,0.2365,1222.5065,0.181805,-387.134052,-387.124831,-387.123887,-387.167726,35.591
114448,gdb_114449,CCC1OC2C3OC2C13,4.69253,1.14016,1.07,1.6042,74.36,-0.235,0.0693,0.3043,1178.5969,0.159508,-422.961166,-422.953611,-422.952666,-422.993357,29.804
67947,gdb_67948,CC12NC(=O)C1CC=C2,2.35836,1.80418,1.29401,3.6489,76.77,-0.2412,0.0037,0.2449,1026.0246,0.148616,-401.990285,-401.982447,-401.981503,-402.022388,30.835
128768,gdb_128769,COCc1c(cno1)N,3.39321,1.10849,0.85707,3.8288,72.7,-0.207,-0.0027,0.2043,1318.5738,0.136013,-455.117803,-455.108906,-455.107962,-455.152118,31.72
121461,gdb_121462,OCCN=C1OCC1O,3.6498,0.8154,0.69855,2.7593,72.67,-0.2512,0.0044,0.2556,1587.9161,0.14652,-476.19958,-476.190018,-476.189074,-476.235574,33.351
87991,gdb_87992,CC1NC11COC1(C)C,2.61198,1.23966,1.19529,1.9975,82.13,-0.2398,0.067,0.3068,1221.8257,0.191847,-404.318632,-404.308706,-404.307762,-404.352999,37.384
69885,gdb_69886,OC12CC1C1NC21C#N,2.7954,1.65709,1.20684,3.2854,70.97,-0.2355,0.0034,0.2389,997.6433,0.112293,-416.724875,-416.717324,-416.71638,-416.756661,29.605
30839,gdb_30840,Cc1cc(oc1NC)O,2.32037,1.38132,0.913,1.6912,76.83,-0.1878,0.0389,0.2267,1283.8401,0.146473,-439.110735,-439.101234,-439.10029,-439.145111,34.487
38431,gdb_38432,C1C2N1CC21CCC=C1,3.98745,1.26392,1.1544,1.7879,84.18,-0.2251,0.021,0.2462,1128.1026,0.173091,-365.975525,-365.968015,-365.967071,-366.007707,30.115
10439,gdb_10440,C#CCC1(CC1)C#C,2.79401,1.71078,1.25268,0.9427,76.01,-0.2452,0.0429,0.2881,999.6898,0.127669,-309.386451,-309.377986,-309.377042,-309.419297,31.796
54219,gdb_54220,CC(=O)C1(C)COC1=O,2.23519,1.47947,1.31133,3.2284,68.42,-0.2604,-0.0384,0.2219,1070.6825,0.133617,-459.012017,-459.00281,-459.001866,-459.046321,32.701
53906,gdb_53907,CC(=O)C(C#N)N1CC1,1.8954,1.5595,1.0286,2.9877,73.94,-0.2635,-0.0426,0.2209,1195.4335,0.133492,-417.998235,-417.988742,-417.987797,-418.033728,33.042
95916,gdb_95917,CC1COCC1(O)C#C,2.31558,1.50431,1.18356,1.6829,76.99,-0.2449,0.0303,0.2752,1122.8117,0.157212,-422.992967,-422.983411,-422.982467,-423.027148,35.47
76332,gdb_76333,CC1C(C)C(C)(C)C1O,1.76494,1.67409,1.15893,1.4838,87.63,-0.246,0.0592,0.3052,1249.1103,0.226874,-389.492688,-389.481843,-389.480899,-389.527242,41.747
32817,gdb_32818,Cc1c(nco1)COC,3.35702,1.09492,0.83931,1.321,75.41,-0.2262,0.0117,0.238,1356.7659,0.146957,-439.112372,-439.103133,-439.102189,-439.147789,31.99
46250,gdb_46251,N=C1OCC11CC2OC12,3.16636,1.47842,1.23782,3.8843,69.64,-0.2575,0.0169,0.2743,1014.267,0.124455,-437.831547,-437.824232,-437.823287,-437.863604,27.946
24272,gdb_24273,C1C2CC3=CC=CN3C12,3.82095,1.61663,1.25496,2.0926,82.15,-0.1932,0.0469,0.2401,1000.3213,0.15167,-364.842993,-364.836412,-364.835468,-364.873765,27.499
42465,gdb_42466,N=C(NCC1CN1)C#N,4.38608,0.72587,0.64284,3.0163,77.48,-0.2559,-0.0435,0.2124,1670.5173,0.136628,-414.168345,-414.15902,-414.158075,-414.20398,32.616
108404,gdb_108405,CCC12CCC1C2C=O,1.97777,1.40644,1.00104,3.5215,84.22,-0.2341,-0.0169,0.2173,1286.5591,0.181659,-387.078449,-387.069229,-387.068285,-387.112758,34.445
70666,gdb_70667,CC12OC1CCC2C=O,2.49278,1.48978,1.0968,3.042,75.49,-0.2454,-0.0233,0.2221,1139.753,0.158406,-423.041422,-423.032788,-423.031844,-423.075101,32.219
78831,gdb_78832,OC1C2C3C2C1C3C#N,3.60442,1.31596,1.1422,4.5179,72.41,-0.2686,0.0365,0.3051,1059.2763,0.125462,-400.708054,-400.700791,-400.699847,-400.739736,28.439
126658,gdb_126659,CCCNc1ccon1,6.31563,0.67938,0.62557,3.4221,79.24,-0.217,0.0051,0.222,1777.4506,0.159796,-419.202345,-419.193269,-419.192325,-419.237555,32.534
95053,gdb_95054,CN1CCC2OC(=N)C12,2.75124,1.56168,1.22976,3.3387,76.16,-0.223,0.0231,0.2461,1071.3275,0.161183,-419.202835,-419.194972,-419.194027,-419.235209,30.533
117774,gdb_117775,CCCC(O)(CC)C#N,2.52747,0.97164,0.84225,4.6351,82.77,-0.2881,0.023,0.3111,1522.1984,0.191109,-404.372602,-404.361388,-404.360444,-404.408879,40.127
133223,gdb_133224,Cn1cc(c(=O)cn1)F,3.08268,1.39687,0.96733,6.0859,70.97,-0.2291,-0.0438,0.1853,1124.1671,0.100814,-477.985866,-477.978056,-477.977112,-478.01901,28.037
20934,gdb_20935,CCNc1c[nH]nc1,7.19843,1.07857,0.95216,2.5905,71.44,-0.187,0.0304,0.2174,1207.9672,0.144371,-360.053049,-360.045132,-360.044188,-360.085859,28.884
57967,gdb_57968,CN(C)C(=O)CC1CN1,2.90242,1.02264,0.84828,3.6301,80.8,-0.2378,0.0247,0.2625,1432.8371,0.181917,-420.400907,-420.390548,-420.389604,-420.437806,36.072
102372,gdb_102373,C(C(CO)(C=O)C=O)O,1.78819,1.67738,1.07766,1.9844,64.77,-0.2475,-0.0427,0.2048,1143.0788,0.130859,-496.091371,-496.08059,-496.079646,-496.128281,35.897
66521,gdb_66522,CC12C3C1N1C2C3C1=O,5.05555,1.36332,1.33069,4.2017,71.51,-0.2389,-0.0106,0.2283,975.8582,0.124805,-400.676631,-400.669804,-400.66886,-400.707698,27.158
56630,gdb_56631,CC(C#C)C1(O)CC1C,2.01916,1.40198,1.09902,1.5936,84.23,-0.2481,0.053,0.301,1245.8179,0.178851,-387.044663,-387.034172,-387.033228,-387.079641,39.439
82367,gdb_82368,OC1C2CC2OC1C=O,2.47649,1.66987,1.35945,2.1958,66.83,-0.2449,-0.0488,0.1962,987.0211,0.13535,-458.945507,-458.937602,-458.936658,-458.978296,30.189
84800,gdb_84801,NC(=O)C1CC=CC1O,2.73197,1.34569,1.1007,2.6504,73.25,-0.2374,0.0029,0.2403,1133.8513,0.148928,-439.125684,-439.117145,-439.116201,-439.15932,32.493
118616,gdb_118617,COCC(OC=O)C#N,2.00179,1.18322,0.87593,3.9656,67.54,-0.2811,-0.025,0.2561,1333.3479,0.121088,-475.028641,-475.018644,-475.017699,-475.065671,32.697
35736,gdb_35737,C#CC1OCC2(CC2)O1,2.88538,1.42313,1.19661,1.4805,73.08,-0.2475,0.0328,0.2802,1078.6407,0.134597,-421.765639,-421.757357,-421.756413,-421.799577,31.105
17550,gdb_17551,CC12CC1CC21CO1,3.18352,2.11996,1.63411,1.576,71.91,-0.2457,0.091,0.3367,859.1431,0.153163,-347.757642,-347.750167,-347.749222,-347.788981,29.124
81295,gdb_81296,CC1C2COC(=O)C1O2,2.32143,1.7633,1.60105,4.4251,67.11,-0.2481,-0.0036,0.2445,944.396,0.137175,-458.978861,-458.971412,-458.970468,-459.010677,28.711
28051,gdb_28052,CC1=CC(OC=N)=CO1,6.6852,0.8145,0.74107,2.9664,76.19,-0.2201,0.0061,0.2262,1490.5675,0.12362,-437.90896,-437.900422,-437.899478,-437.942952,30.482
101848,gdb_101849,OCC(O)CCC1CC1,4.94702,0.57361,0.5377,2.4033,82.71,-0.2541,0.0623,0.3164,2075.5675,0.204682,-425.409494,-425.399084,-425.398139,-425.445885,38.29
105466,gdb_105467,OCC1(CCC#C)CO1,3.866,0.77976,0.71402,1.3313,77.5,-0.2632,0.0503,0.3135,1586.2745,0.15671,-422.968068,-422.958304,-422.95736,-423.003401,35.709
121512,gdb_121513,CC#CC#CCCCO,8.29883,0.38024,0.36689,1.2399,101.31,-0.2257,0.0016,0.2273,2898.6867,0.15631,-385.848383,-385.837121,-385.836177,-385.888246,37.425
53516,gdb_53517,CC#CCC(C)NC=O,2.66796,0.81275,0.65357,3.8838,85.47,-0.2462,0.0296,0.2758,1737.9429,0.16852,-403.160538,-403.149568,-403.148624,-403.198464,37.562
62640,gdb_62641,CC1(C)C2C3OC2(C)C13,2.8648,1.59286,1.19473,1.8662,82.27,-0.2238,0.081,0.3048,1108.4197,0.179982,-387.010994,-387.002121,-387.001177,-387.04377,35.015
53556,gdb_53557,CC#CCC1=CCOC1,3.87923,0.75323,0.69165,1.7468,86.82,-0.2274,0.0181,0.2455,1685.5038,0.15797,-385.86949,-385.859717,-385.858773,-385.906741,33.474
60032,gdb_60033,CC(C)CC(C=O)C=O,2.05156,0.9675,0.78229,2.185,80.59,-0.2573,-0.0544,0.2029,1560.6157,0.178019,-424.251977,-424.241105,-424.24016,-424.289379,37.722
108920,gdb_108921,CC12NC1CC(CO)=C2,3.2596,1.09173,0.91978,1.9013,81.23,-0.2255,0.0173,0.2428,1326.6759,0.171076,-403.132542,-403.12372,-403.122776,-403.16588,33.964
3762,gdb_3763,CN1N=COC1=N,4.061,3.60775,1.93391,1.4073,53.03,-0.2128,0.0024,0.2152,621.336,0.091052,-356.700248,-356.693838,-356.692894,-356.731272,22.052
112696,gdb_112697,CCC1CC(C)C(C)=C1,2.85089,0.98944,0.79077,0.2803,96.53,-0.224,0.0328,0.2569,1585.9803,0.228435,-352.390271,-352.379918,-352.378974,-352.425466,39.073
125210,gdb_125211,Cc1c2c(nno2)no1,3.6334,1.64326,1.13956,3.4306,64.77,-0.2615,-0.095,0.1665,965.1755,0.077006,-468.73267,-468.725732,-468.724788,-468.764493,25.165
92856,gdb_92857,CC1CN=C2OCCC12,2.83331,1.59474,1.18448,3.8411,78.88,-0.2408,0.033,0.2737,1090.8629,0.174144,-403.177726,-403.17006,-403.169115,-403.209725,30.345
104006,gdb_104007,OCC1(O)CC2CC12O,2.66764,1.34431,1.21234,2.3375,71.2,-0.2234,0.0543,0.2777,1111.7087,0.157906,-460.122753,-460.113813,-460.112869,-460.155892,34.958
133333,gdb_133334,NC1=C(F)NN=NC1=N,2.408,1.88034,1.05672,3.8728,69.24,-0.2031,-0.0497,0.1534,1011.1499,0.089853,-490.179842,-490.172254,-490.17131,-490.211768,28.829
28393,gdb_28394,NC1=CN=C(O)C(=N)O1,3.19773,1.46739,1.00701,4.1852,73.58,-0.1937,-0.0391,0.1545,1089.8076,0.102005,-470.034083,-470.026365,-470.02542,-470.066229,29.656
93046,gdb_93047,CC1OC=NC2COC12,2.49851,1.9193,1.2754,1.6368,72.45,-0.2507,0.0195,0.2702,1005.5697,0.149384,-439.081788,-439.074154,-439.07321,-439.114059,29.065
29457,gdb_29458,c1c(c2c([nH]1)CC=C2)N,3.19662,1.58832,1.06976,2.046,82.67,-0.1734,0.0145,0.1879,1086.5166,0.138923,-380.903383,-380.895719,-380.894775,-380.935068,30.502
102678,gdb_102679,CCC(CO)NCC#N,2.02506,0.92882,0.70989,5.1668,80.16,-0.2419,0.0251,0.267,1632.2808,0.18144,-420.404853,-420.394101,-420.393157,-420.441701,37.785
35906,gdb_35907,N#CC1CCCC2CN12,2.99066,1.39655,1.06755,4.7086,78.95,-0.2423,0.0295,0.2718,1139.2966,0.16207,-382.066853,-382.059019,-382.058075,-382.099268,30.496
50750,gdb_50751,O=CC1CCCCC=C1,2.99447,1.10261,0.86776,2.8451,85.05,-0.2445,-0.023,0.2215,1359.712,0.183347,-387.113958,-387.105076,-387.104132,-387.148712,33.224
130252,gdb_130253,c1(c(=O)onc(n1)N)N,3.23585,1.50459,1.02807,4.7246,65.64,-0.2302,-0.0629,0.1674,1056.4458,0.09035,-486.087227,-486.07949,-486.078546,-486.119272,29.356
57132,gdb_57133,CC(C#CC#N)C1CC1,3.4213,0.74057,0.62993,5.4548,91.15,-0.2794,-0.0349,0.2444,1728.7705,0.146918,-364.793663,-364.784242,-364.783298,-364.828695,33.876
93193,gdb_93194,CC1COC(=O)C(=O)C1,2.87228,1.3423,0.95254,5.9656,69.44,-0.2552,-0.0766,0.1786,1201.3444,0.135444,-459.015424,-459.006947,-459.006003,-459.049267,30.977
18392,gdb_18393,C1CC=CC2NC2C1,3.2073,2.18593,1.50062,1.5407,75.83,-0.2361,0.0146,0.2506,882.0845,0.168985,-327.909736,-327.90287,-327.901926,-327.940372,27.893
100260,gdb_100261,CC(C[NH3+])(CO)C([O-])=O,2.18569,1.4229,1.07709,6.2429,70.82,-0.2554,0.0173,0.2727,1189.1622,0.170961,-477.459333,-477.449726,-477.448782,-477.493363,36.174
86355,gdb_86356,CN1CC(O)C1CC#C,2.50527,1.22007,0.88586,1.2298,81.76,-0.2221,0.0525,0.2747,1327.7596,0.168789,-403.085358,-403.075612,-403.074668,-403.120114,36.217
95629,gdb_95630,CC1CCNC(=O)N1C,2.10665,1.77989,1.02639,4.0023,79.98,-0.2256,0.0579,0.2835,1193.9755,0.1847,-420.464898,-420.455756,-420.454812,-420.498756,34.447
67493,gdb_67494,NC12C3OC3C1C2C#N,2.5747,1.71015,1.2926,6.2651,69.49,-0.255,0.0175,0.2725,979.12,0.112387,-416.723854,-416.716303,-416.715359,-416.755621,29.404
91645,gdb_91646,CC1(C)C2CC1C(O)C2,2.4085,1.63192,1.33083,1.3294,84.93,-0.2563,0.0791,0.3354,1099.0036,0.206591,-388.279572,-388.270726,-388.269781,-388.312182,35.979
42833,gdb_42834,O=C1C2CC3OC3C1N2,2.64123,1.8406,1.65942,3.1143,67.6,-0.2458,-0.0094,0.2364,881.4423,0.126596,-437.857121,-437.850534,-437.849589,-437.887959,26.571
85444,gdb_85445,CC1OC(=N)CC11CC1,2.56159,1.47196,1.11785,3.2623,80.35,-0.2523,0.0334,0.2857,1156.296,0.171555,-403.165989,-403.157544,-403.156599,-403.198994,32.945
121991,gdb_121992,COCCC(C)NC=O,2.14449,0.88996,0.67935,2.7851,80.83,-0.2486,0.0304,0.279,1715.0012,0.191957,-441.505763,-441.494596,-441.493652,-441.543627,38.35
97167,gdb_97168,CN=C1C(=CCO1)C#C,2.24205,1.54902,0.92665,2.5814,85.37,-0.2335,-0.0454,0.1881,1226.1141,0.122947,-400.736315,-400.727515,-400.72657,-400.770925,31.453
9408,gdb_9409,COCCC(O)C=O,6.70143,0.77349,0.7249,1.9309,66.75,-0.2565,-0.0393,0.2172,1531.4243,0.1507,-422.071549,-422.062034,-422.06109,-422.106682,32.405
37460,gdb_37461,C1CC2C3NC3C3C1N23,2.74752,2.10362,1.78611,1.9173,75.98,-0.2155,0.0663,0.2818,865.3199,0.164488,-382.026872,-382.020712,-382.019767,-382.056997,26.821
10907,gdb_10908,CN1C2CC2(C)C1=O,3.33399,1.98025,1.45246,3.4597,69.76,-0.2304,0.0164,0.2468,906.1174,0.141456,-363.861611,-363.853504,-363.85256,-363.893882,29.505
14559,gdb_14560,OCC1(O)C2CCC12,3.44593,1.70467,1.44283,2.0092,67.21,-0.2367,0.0582,0.295,926.1892,0.153921,-384.896781,-384.889051,-384.888107,-384.928491,30.258
85418,gdb_85419,CC1CC(=O)CC1(C)O,2.27193,1.43804,1.17486,3.0508,77.78,-0.2339,-0.011,0.2229,1165.7827,0.180697,-424.269563,-424.260143,-424.259199,-424.303296,36.687
24040,gdb_24041,c1cnc(cn1)CC#N,4.55256,1.09406,0.88686,3.7468,73.97,-0.262,-0.0658,0.1962,1209.3615,0.103237,-395.790818,-395.783486,-395.782542,-395.824113,26.346
30092,gdb_30093,CC1CC1C1=CN=CN1,3.55951,1.11327,1.03597,3.7663,81.68,-0.2123,0.0312,0.2436,1230.1045,0.161622,-382.101554,-382.093332,-382.092388,-382.134963,31.23
82935,gdb_82936,CC1C2CC3CC3C12O,2.06693,1.75534,1.44445,1.17,80.91,-0.2331,0.0788,0.3119,1058.1971,0.183274,-387.061274,-387.052928,-387.051983,-387.093503,33.869
